"datetime","rows_in_bin","overall_completeness","hr_median","rr_median","temperature_median","temperature_calib_median","rmssd_median","hr_mean","rr_mean","temperature_mean","temperature_calib_mean","rmssd_mean","hr_min","rr_min","temperature_min","temperature_calib_min","rmssd_min","hr_max","rr_max","temperature_max","temperature_calib_max","rmssd_max","hr_missing_propn","rr_missing_propn","temperature_missing_propn","temperature_calib_missing_propn","rmssd_missing_propn"
"2025-07-17 06:30:00",248,0.992,72,27,35.3,NA,44,71.9193548387097,27.2073732718894,35.4627016129032,NA,50.4193548387097,62,25,35,NA,30,83,31,36,NA,95,0,0.125,0,1,0
"2025-07-17 06:35:00",300,1,75,27,36,NA,79,76.1266666666667,26.8402777777778,36,NA,81.05,61,23,36,NA,20,95,35,36,NA,149,0,0.04,0,1,0
"2025-07-17 06:40:00",300,1,71,26,36,NA,77.5,73.78,25.7833333333333,36,NA,74.6566666666667,63,22,36,NA,26,92,30,36,NA,110,0,0,0,1,0
"2025-07-17 06:45:00",300,1,72,27,36,NA,74,73.55,26.71,36,NA,83.3,62,22,36,NA,27,88,31,36,NA,130,0,0,0,1,0
"2025-07-17 06:50:00",300,1,75,28,36.15,NA,58,75.3233333333333,27.6133333333333,36.224,NA,59.0233333333333,63,24,36,NA,22,88,33,36.8,NA,109,0,0,0,1,0
"2025-07-17 06:55:00",300,1,70,26,36.65,NA,46,72.8533333333333,26.74,36.6835,NA,45.3666666666667,67,23,36.3,NA,20,88,33,37,NA,85,0,0,0,1,0
"2025-07-17 07:00:00",300,1,72,26,37,NA,40,73.4833333333333,26.0666666666667,36.992,NA,51.3866666666667,66,23,36.9,NA,23,84,30,37,NA,123,0,0,0,1,0
"2025-07-17 07:05:00",300,1,74,27,37,NA,50,75.3366666666667,27.2166666666667,36.993,NA,49.8833333333333,65,24,36.9,NA,24,91,32,37,NA,78,0,0,0,1,0
"2025-07-17 07:10:00",300,1,72,27,37,NA,56,73.22,26.9766666666667,37,NA,62.2633333333333,67,24,37,NA,28,85,30,37,NA,115,0,0,0,1,0
"2025-07-17 07:15:00",300,1,75,26,37,NA,45,75.87,25.15,37,NA,46.4566666666667,68,17,37,NA,18,89,30,37,NA,74,0,0,0,1,0
