"datetime","rows_in_bin","overall_completeness","hr_median","rr_median","temperature_median","temperature_calib_median","rmssd_median","hr_mean","rr_mean","temperature_mean","temperature_calib_mean","rmssd_mean","hr_min","rr_min","temperature_min","temperature_calib_min","rmssd_min","hr_max","rr_max","temperature_max","temperature_calib_max","rmssd_max","hr_missing_propn","rr_missing_propn","temperature_missing_propn","temperature_calib_missing_propn","rmssd_missing_propn"
"2025-07-18 20:35:00",89,1,86,20,35,NA,26,86.5542168674699,21.3258426966292,35,NA,23.8539325842697,83,19,35,NA,0,92,28,35,NA,31,0.0674157303370786,0,0,1,0
"2025-07-18 20:40:00",300,1,89,22,35,NA,27,89.1267605633803,21.5533333333333,35,NA,30.9866666666667,85,13,35,NA,0,94,30,35,NA,75,0.0533333333333333,0,0,1,0
"2025-07-18 20:45:00",300,1,92,22,35,NA,27,91.04,21.7266666666667,35,NA,26.7333333333333,86,12,35,NA,17,95,27,35,NA,36,0,0,0,1,0
"2025-07-18 20:50:00",300,1,93,19,35,NA,28,93.271186440678,19.5333333333333,35,NA,29.44,90,12,35,NA,0,101,26,35,NA,52,0.0166666666666667,0,0,1,0
"2025-07-18 20:55:00",300,1,93,20,35,NA,23,92.7073170731707,19.0933333333333,35,NA,24.61,87,11,35,NA,0,101,26,35,NA,49,0.0433333333333333,0,0,1,0
"2025-07-18 21:00:00",300,1,94,21,35,NA,21,93.5766666666667,20.1033333333333,35,NA,23.0566666666667,90,12,35,NA,11,98,28,35,NA,49,0,0,0,1,0
"2025-07-18 21:05:00",300,1,93,19,35,NA,20,93.6310344827586,18.66,35,NA,26.1033333333333,89,13,35,NA,0,98,24,35,NA,65,0.0333333333333333,0,0,1,0
"2025-07-18 21:10:00",300,1,96,18,35,NA,27,95.3433333333333,18.98,35,NA,30.1333333333333,90,13,35,NA,12,102,27,35,NA,63,0,0,0,1,0
"2025-07-18 21:15:00",300,1,95,19,35,NA,25,95.4089347079038,19.3133333333333,35,NA,24.32,89,14,35,NA,0,103,25,35,NA,33,0.03,0,0,1,0
"2025-07-18 21:20:00",300,1,97,21,35,NA,28,96.6159169550173,20.57,35,NA,30.17,93,12,35,NA,0,104,27,35,NA,62,0.0366666666666667,0,0,1,0
"2025-07-18 21:25:00",300,1,97,25,35,NA,25.5,97.0366666666667,24.4233333333333,35,NA,23.7066666666667,92,15,35,NA,6,105,27,35,NA,40,0,0,0,1,0
"2025-07-18 21:30:00",300,1,95,26,35,NA,21.5,95.08,24.38,35,NA,24.5966666666667,91,15,35,NA,8,99,29,35,NA,62,0,0,0,1,0
"2025-07-18 21:35:00",300,1,95,25,35,NA,17,94.7233333333333,24.3066666666667,35,NA,24.9266666666667,90,18,35,NA,8,98,26,35,NA,85,0,0,0,1,0
"2025-07-18 21:40:00",300,1,95,25,35.05,NA,18.5,94.8866666666667,25.02,35.0795,NA,23.12,90,21,35,NA,8,101,28,35.3,NA,85,0,0,0,1,0
"2025-07-18 21:45:00",300,1,95,24,35.25,NA,18,95.1050847457627,24.0566666666667,35.2985,NA,22.78,89,19,35.1,NA,0,101,28,35.6,NA,44,0.0166666666666667,0,0,1,0
"2025-07-18 21:50:00",300,1,96,26,36,NA,13,95.765306122449,24.9166666666667,35.8905,NA,25.65,90,16,35.45,NA,0,98,28,36,NA,97,0.02,0,0,1,0
"2025-07-18 21:55:00",300,1,95,24,36,NA,16,95.0428571428571,23.6033333333333,35.9905,NA,20.1733333333333,90,15,35.85,NA,0,102,30,36,NA,49,0.0666666666666667,0,0,1,0
"2025-07-18 22:00:00",300,1,93,23.5,35.85,NA,22,92.71,22.73,35.7275,NA,23.9666666666667,88,15,35.15,NA,11,99,26,36,NA,38,0,0,0,1,0
"2025-07-18 22:05:00",300,1,95,20,35,36.949997,30,94.6172413793103,19.6766666666667,35.076,36.9657227580645,34.3133333333333,89,14,35,36.949997,0,99,24,35.5,37.1,95,0.0333333333333333,0,0,0.173333333333333,0
"2025-07-18 22:10:00",300,1,93,21,35,36.949997,38,93.1796610169492,20.6166666666667,35.04,36.989997,37.9633333333333,89,16,35,36.949997,0,100,26,35.25,37.199997,67,0.0166666666666667,0,0,0,0
"2025-07-18 22:15:00",300,1,92,21,35,36.949997,27,91.9762711864407,21.2933333333333,35,36.949997,26.6533333333333,87,16,35,36.949997,0,98,29,35,36.949997,40,0.0166666666666667,0,0,0,0
"2025-07-18 22:20:00",300,1,92,23,35,36.949997,36,92.1433333333333,22.8233333333333,35.0275,36.977497,34.3666666666667,84,15,35,36.949997,15,101,26,35.25,37.199997,51,0,0,0,0,0
"2025-07-18 22:25:00",300,1,90,22,35,36.949997,32,90.0101694915254,22.29,35,36.949997,31.78,84,16,35,36.949997,0,96,27,35,36.949997,44,0.0166666666666667,0,0,0,0
"2025-07-18 22:30:00",300,1,91,24,35,36.949997,28,91.2286689419795,22.2266666666667,35,36.949997,30.2333333333333,84,12,35,36.949997,0,97,25,35,36.949997,54,0.0233333333333333,0,0,0,0
"2025-07-18 22:35:00",300,1,93,22,35,36.949997,38,93.2595155709343,21.7666666666667,35,36.949997,35.3633333333333,86,13,35,36.949997,0,101,30,35,36.949997,55,0.0366666666666667,0,0,0,0
"2025-07-18 22:40:00",300,1,97,18,35,36.949997,32,96.6678571428571,18.4833333333333,35,36.949997,34.5666666666667,91,11,35,36.949997,0,103,25,35,36.949997,68,0.0666666666666667,0,0,0,0
"2025-07-18 22:45:00",300,1,97,19,35,36.949997,28,97.262962962963,18.0733333333333,35,36.949997,28.37,91,11,35,36.949997,0,105,23,35,36.949997,69,0.1,0,0,0,0
"2025-07-18 22:50:00",300,1,91,16,35,36.949997,38,91.2699115044248,18.0333333333333,35,36.949997,42.94,81,13,35,36.949997,0,103,25,35,36.949997,117,0.246666666666667,0,0,0,0
"2025-07-18 22:55:00",300,1,89,21,35,36.949997,35,89.9066666666667,20.74,35,36.949997,42.99,82,12,35,36.949997,8,143,29,35,36.949997,101,0,0,0,0,0
"2025-07-18 23:00:00",300,1,90,23,35,36.949997,16,90.46,22.4066666666667,35,36.949997,19.6366666666667,86,16,35,36.949997,9,97,28,35,36.949997,41,0,0,0,0,0
"2025-07-18 23:05:00",300,1,87,21,35,36.949997,17,87.4966666666667,21.5566666666667,35,36.949997,16.7766666666667,84,16,35,36.949997,12,92,27,35,36.949997,22,0,0,0,0,0
"2025-07-18 23:10:00",300,1,86,25,35,36.949997,17,86.3666666666667,24.16,35,36.949997,16.66,83,20,35,36.949997,10,93,27,35,36.949997,24,0,0,0,0,0
"2025-07-18 23:15:00",300,1,87,22,35,36.949997,19,87.2847457627119,21.6866666666667,35,36.949997,26.86,83,16,35,36.949997,0,92,26,35,36.949997,82,0.0166666666666667,0,0,0,0
"2025-07-18 23:20:00",300,1,83,22,35,36.949997,20,83.5366666666667,21.8233333333333,35,36.949997,20.3066666666667,81,15,35,36.949997,8,88,24,35,36.949997,81,0,0,0,0,0
"2025-07-18 23:25:00",300,1,82,23,35,36.949997,26,81.8,22.1966666666667,35,36.949997,27.6,79,18,35,36.949997,9,85,24,35,36.949997,46,0,0,0,0,0
"2025-07-18 23:30:00",300,1,85,21,35,36.949997,26,85.7559322033898,19.77,35,36.949997,35.2366666666667,78,13,35,36.949997,0,96,25,35,36.949997,76,0.0166666666666667,0,0,0,0
"2025-07-18 23:35:00",300,1,81,24,35,36.949997,31,80.9133333333333,23.0966666666667,35,36.949997,33.6866666666667,78,17,35,36.949997,20,86,25,35,36.949997,59,0,0,0,0,0
"2025-07-18 23:40:00",300,1,77,21,35,36.949997,38,77.2266666666667,20.36,35,36.949997,38.8033333333333,72,14,35,36.949997,32,80,23,35,36.949997,47,0,0,0,0,0
"2025-07-18 23:45:00",300,1,83,21,35,36.949997,32,82.5467128027682,21.35,35,36.949997,39.0133333333333,76,19,35,36.949997,0,94,25,35,36.949997,104,0.0366666666666667,0,0,0,0
"2025-07-18 23:50:00",300,1,80,22,35,36.949997,34,80.3766666666667,21.8766666666667,35,36.949997,42.5133333333333,77,15,35,36.949997,25,85,25,35,36.949997,70,0,0,0,0,0
"2025-07-18 23:55:00",300,1,79,22,35,36.949997,31,79.1233333333333,21.95,35,36.949997,31.1,77,16,35,36.949997,23,84,24,35,36.949997,38,0,0,0,0,0
"2025-07-19 00:00:00",300,1,78,20.5,35,36.949997,40,79.0338983050847,19.98,35,36.949997,44.0766666666667,74,14,35,36.949997,0,86,23,35,36.949997,78,0.0166666666666667,0,0,0,0
"2025-07-19 00:05:00",300,1,80,22,35,36.949997,31,79.49,21.2666666666667,35,36.949997,30.5366666666667,78,13,35,36.949997,20,80,24,35,36.949997,58,0,0,0,0,0
"2025-07-19 00:10:00",300,1,79,22,35,36.949997,28,78.7633333333333,21.8833333333333,35,36.949997,27.53,76,19,35,36.949997,15,84,25,35,36.949997,34,0,0,0,0,0
"2025-07-19 00:15:00",300,1,78,21,35,36.949997,27,78.02,20.2933333333333,35,36.949997,29.0566666666667,73,17,35,36.949997,18,80,22,35,36.949997,45,0,0,0,0,0
"2025-07-19 00:20:00",300,1,77,20,35,36.949997,26,77.25,19.23,35,36.949997,26.4166666666667,74,15,35,36.949997,18,81,22,35,36.949997,36,0,0,0,0,0
"2025-07-19 00:25:00",300,1,77,19.5,35,36.949997,32,78.1766666666667,18.8466666666667,35,36.949997,31.9966666666667,73,13,35,36.949997,23,87,24,35,36.949997,46,0,0,0,0,0
"2025-07-19 00:30:00",300,1,80,22,35,36.949997,35,80.87,21.4966666666667,35,36.949997,44.0933333333333,76,15,35,36.949997,18,89,24,35,36.949997,104,0,0,0,0,0
"2025-07-19 00:35:00",300,1,82,21,35,36.949997,28,81.99,20.8533333333333,35,36.949997,34.2066666666667,78,16,35,36.949997,15,88,24,35,36.949997,73,0,0,0,0,0
"2025-07-19 00:40:00",300,1,83,22,35,36.949997,33,82.3796610169492,22.2133333333333,35,36.949997,38.74,78,19,35,36.949997,0,86,26,35,36.949997,92,0.0166666666666667,0,0,0,0
"2025-07-19 00:45:00",300,1,82,22,35,36.949997,30,81.89,21.27,34.9975,36.94749705,36.0066666666667,77,13,34.95,36.899998,10,86,23,35,36.949997,80,0,0,0,0,0
"2025-07-19 00:50:00",300,1,82,22,34.9,36.85,27,81.67,21.8266666666667,34.9155,36.86549744,30.34,76,16,34.8,36.749996,10,86,24,35,36.949997,59,0,0,0,0,0
"2025-07-19 00:55:00",300,1,83,20,34.95,36.899998,33,82.7112676056338,19.7033333333333,34.918,36.86799793,32.0466666666667,78,15,34.7,36.649998,0,89,25,35,36.949997,46,0.0533333333333333,0,0,0,0
"2025-07-19 01:00:00",300,1,82,21,34.9,36.85,26,82.4402730375427,20.1266666666667,34.8995,36.84949782,33.9933333333333,78,13,34.6,36.549995,0,87,23,35,36.949997,95,0.0233333333333333,0,0,0,0
"2025-07-19 01:05:00",300,1,79,22,34.975,36.9249975,25,78.73,21.1766666666667,34.955,36.90499725,25.81,75,18,34.85,36.799995,8,81,23,35,36.949997,38,0,0,0,0,0
"2025-07-19 01:10:00",300,1,79,21,35,36.949997,24.5,78.9366666666667,20.8233333333333,34.9995,36.94949701,23.0633333333333,76,17,34.95,36.899998,8,83,23,35,36.949997,37,0,0,0,0,0
"2025-07-19 01:15:00",300,1,79,21,35,36.949997,22,79.3066666666667,20.8333333333333,35,36.949997,20.9,77,15,35,36.949997,9,86,25,35,36.949997,31,0,0,0,0,0
"2025-07-19 01:20:00",300,1,79,21,35,36.949997,27,78.4366666666667,21.0666666666667,35,36.949997,26.8266666666667,76,18,35,36.949997,12,81,24,35,36.949997,42,0,0,0,0,0
"2025-07-19 01:25:00",300,1,80,23,35,36.949997,44,80.0793103448276,21.96,35,36.949997,48.2433333333333,74,16,35,36.949997,0,87,27,35,36.949997,130,0.0333333333333333,0,0,0,0
"2025-07-19 01:30:00",300,1,80.5,20,35,36.949997,17,80.7766666666667,18.68,35,36.949997,27.9933333333333,75,13,35,36.949997,8,89,24,35,36.949997,83,0,0,0,0,0
"2025-07-19 01:35:00",300,1,77,23,35,36.949997,17,76.8733333333333,22.9266666666667,35,36.949997,22.5466666666667,73,21,35,36.949997,9,81,25,35,36.949997,53,0,0,0,0,0
"2025-07-19 01:40:00",300,1,78,22,35,36.949997,39,78.6166666666667,22.08,35,36.949997,54.1366666666667,73,20,35,36.949997,26,91,24,35,36.949997,122,0,0,0,0,0
"2025-07-19 01:45:00",300,1,77,22,35,36.949997,39,77.2266666666667,21.9166666666667,35,36.949997,39.15,75,20,35,36.949997,29,80,23,35,36.949997,46,0,0,0,0,0
"2025-07-19 01:50:00",300,1,76,22,34.8,36.749996,42,77.9134948096886,21.7733333333333,34.7605,36.71049734,57.71,73,19,34.4,36.35,0,91,24,35,36.949997,151,0.0366666666666667,0,0,0,0
"2025-07-19 01:55:00",300,1,81,21,34.6,36.549995,38,81.8277027027027,20.39,34.6365,36.58649627,41.93,76,17,34.35,36.299995,0,90,24,34.85,36.799995,73,0.0133333333333333,0,0,0,0
"2025-07-19 02:00:00",300,1,77,20,34.8,36.749996,59.5,77.5663082437276,18.2366666666667,34.718,36.66799739,60.2666666666667,73,11,34.3,36.249996,0,87,22,35,36.949997,118,0.07,0,0,0,0
"2025-07-19 02:05:00",300,1,75,21,34.15,36.1,41,75.28,20.6833333333333,34.1975,36.147497,52.5333333333333,73,19,34,35.949997,26,80,22,34.65,36.6,114,0,0,0,0,0
"2025-07-19 02:10:00",300,1,75,21,34,35.949997,45,75.1694915254237,20.8366666666667,34.025,35.9749968,50.6066666666667,73,13,34,35.949997,0,82,23,34.15,36.1,90,0.0166666666666667,0,0,0,0
"2025-07-19 02:15:00",300,1,75,21,34,35.949997,46,74.48,21.11,34,35.949997,45.69,71,19,34,35.949997,32,78,23,34,35.949997,54,0,0,0,0,0
"2025-07-19 02:20:00",300,1,80,20,34,35.949997,50.5,80.4338983050847,20.1233333333333,34,35.949997,50.83,71,15,34,35.949997,0,91,23,34,35.949997,102,0.0166666666666667,0,0,0,0
"2025-07-19 02:25:00",300,1,78,21,34,35.949997,48,78.8931034482759,20.3433333333333,34,35.949997,55.3166666666667,74,12,34,35.949997,0,88,23,34,35.949997,128,0.0333333333333333,0,0,0,0
"2025-07-19 02:30:00",300,1,78,18,34,35.949997,58,78.9571428571429,17.5366666666667,34.0075,35.95749685,61.44,74,10,34,35.949997,0,88,24,34.1,36.049995,109,0.0666666666666667,0,0,0,0
"2025-07-19 02:35:00",300,1,78,19,34,35.949997,41,78.6175438596491,19.0933333333333,34.0175,35.96749665,52.6366666666667,75,14,34,35.949997,0,85,23,34.1,36.049995,103,0.05,0,0,0,0
