"datetime","rows_in_bin","overall_completeness","hr_median","rr_median","temperature_median","temperature_calib_median","rmssd_median","hr_mean","rr_mean","temperature_mean","temperature_calib_mean","rmssd_mean","hr_min","rr_min","temperature_min","temperature_calib_min","rmssd_min","hr_max","rr_max","temperature_max","temperature_calib_max","rmssd_max","hr_missing_propn","rr_missing_propn","temperature_missing_propn","temperature_calib_missing_propn","rmssd_missing_propn"
"2025-07-30 14:45:00",148,0.986666666666667,87,20,34,NA,102,87.6923076923077,20.1196581196581,34,NA,98.4054054054054,80,18,34,NA,0,101,25,34,NA,128,0.0337837837837838,0.209459459459459,0,1,0
"2025-07-30 14:50:00",300,1,86,21,34,NA,150,86.4620689655172,21.0466666666667,34,NA,139.866666666667,77,14,34,NA,0,109,33,34,NA,181,0.0333333333333333,0,0,1,0
"2025-07-30 14:55:00",300,1,86,20,34,NA,109,86.6633333333333,19.8933333333333,34,NA,109.233333333333,81,18,34,NA,75,96,25,34,NA,151,0,0,0,1,0
"2025-07-30 15:00:00",300,1,87,21,34,NA,83,87.0542372881356,19.78,34,NA,86.5133333333333,80,14,34,NA,0,96,24,34,NA,141,0.0166666666666667,0,0,1,0
"2025-07-30 15:05:00",300,1,87,20,34,NA,76,87.3466666666667,20.1333333333333,34,NA,79.1466666666667,81,14,34,NA,60,95,26,34,NA,114,0,0,0,1,0
"2025-07-30 15:10:00",300,1,88,22,34,NA,94,87.9033333333333,21.67,34,NA,97.6833333333333,72,16,34,NA,66,96,27,34,NA,135,0,0,0,1,0
"2025-07-30 15:15:00",300,1,86,21,34,NA,89,86.8333333333333,21.1266666666667,34,NA,91.58,82,15,34,NA,53,96,28,34,NA,119,0,0,0,1,0
"2025-07-30 15:20:00",300,1,87,21,34,NA,92.5,86.6766666666667,21.0133333333333,33.9925,NA,91.16,78,15,33.9,NA,63,96,27,34,NA,120,0,0,0,1,0
"2025-07-30 15:25:00",300,1,87,21,33.85,NA,81,86.6133333333333,21.6433333333333,33.8008333333333,NA,81.8433333333333,80,18,33.5,NA,53,93,30,34,NA,118,0,0,0,1,0
"2025-07-30 15:30:00",300,1,87,21,33.5,NA,82,87.03,20.99,33.5256666666667,NA,85.2466666666667,78,15,33.15,NA,58,96,25,33.8,NA,130,0,0,0,1,0
"2025-07-30 15:35:00",300,1,87,22,33.8,NA,92,87.4033333333333,20.5733333333333,33.7595,NA,93.8633333333333,80,14,33.2,NA,57,95,25,34,NA,151,0,0,0,1,0
"2025-07-30 15:40:00",300,1,87,19,33.85,NA,83,87.7220338983051,19.1633333333333,33.7965,NA,82.7233333333333,82,14,33.55,NA,0,98,23,34,NA,109,0.0166666666666667,0,0,1,0
"2025-07-30 15:45:00",300,1,87,20,33.975,NA,86,87.2101694915254,19.68,33.9,NA,86.0433333333333,81,15,33.65,NA,0,102,25,34,NA,117,0.0166666666666667,0,0,1,0
"2025-07-30 15:50:00",300,1,87,19.5,34,NA,102,87.6733333333333,19.7533333333333,33.985,NA,104.643333333333,81,17,33.9,NA,63,94,24,34,NA,144,0,0,0,1,0
"2025-07-30 15:55:00",300,1,88,21,34,NA,98,88.3233333333333,20.9433333333333,34,NA,98.7333333333333,82,17,34,NA,64,98,27,34,NA,150,0,0,0,1,0
"2025-07-30 16:00:00",300,1,86,21,34,NA,138,85.7796610169491,20.1966666666667,34,NA,128.866666666667,77,15,34,NA,0,96,26,34,NA,189,0.0166666666666667,0,0,1,0
"2025-07-30 16:05:00",300,1,89,18,34,NA,146.5,89.425,18.3066666666667,34,NA,138.023333333333,63,13,34,NA,0,115,22,34,NA,212,0.0666666666666667,0,0,1,0
"2025-07-30 16:10:00",300,1,93,21,34,NA,141.5,95.241134751773,20.7433333333333,34,NA,136.76,84,15,34,NA,0,126,26,34,NA,181,0.06,0,0,1,0
"2025-07-30 16:15:00",300,1,88,20,34,NA,147.5,89.4290657439446,20.0866666666667,34,NA,143.136666666667,81,15,34,NA,0,114,25,34,NA,210,0.0366666666666667,0,0,1,0
"2025-07-30 16:20:00",300,1,87,20,34,NA,136,87.9233333333333,19.5966666666667,34,NA,137.47,80,16,34,NA,96,99,24,34,NA,174,0,0,0,1,0
"2025-07-30 16:25:00",300,1,86,19,34.05,NA,142,86.8133333333333,19.68,34.161,NA,145.15,81,16,34,NA,111,97,26,34.65,NA,180,0,0,0,1,0
"2025-07-30 16:30:00",300,1,88,18,34.85,NA,147,88.7898305084746,19.4533333333333,34.8506666666667,NA,145.313333333333,80,14,34.6,NA,0,111,26,35,NA,214,0.0166666666666667,0,0,1,0
"2025-07-30 16:35:00",300,1,92,23,35,NA,154.5,93.86,23.3966666666667,35,NA,151.053333333333,77,19,35,NA,102,119,28,35,NA,202,0,0,0,1,0
"2025-07-30 16:40:00",300,1,86,20,35,NA,140,87.69,19.9833333333333,35,NA,140.98,78,16,35,NA,102,110,25,35,NA,184,0,0,0,1,0
"2025-07-30 16:45:00",300,1,88,22,35,NA,152,88.74,20.85,35,NA,147.656666666667,80,14,35,NA,97,100,25,35,NA,185,0,0,0,1,0
"2025-07-30 16:50:00",300,1,87,19,35,NA,168,87.82,18.6833333333333,35,NA,166.863333333333,78,14,35,NA,124,110,25,35,NA,209,0,0,0,1,0
"2025-07-30 16:55:00",300,1,87,20,35,NA,149,88.4966666666667,19.1933333333333,35,NA,151.766666666667,81,17,35,NA,91,107,22,35,NA,190,0,0,0,1,0
"2025-07-30 17:00:00",300,1,87,19,35,NA,147,88.1633333333333,19.5366666666667,35,NA,149.206666666667,76,16,35,NA,104,110,24,35,NA,201,0,0,0,1,0
"2025-07-30 17:05:00",300,1,88,19,35,NA,146.5,89.7864406779661,18.6833333333333,35,NA,147.09,75,15,35,NA,0,111,25,35,NA,198,0.0166666666666667,0,0,1,0
"2025-07-30 17:10:00",300,1,88,20,35,NA,175,90.05,20.3333333333333,35,NA,173.923333333333,74,15,35,NA,105,116,29,35,NA,208,0,0,0,1,0
"2025-07-30 17:15:00",300,1,88,18,35,NA,175,88.5457627118644,19.02,35,NA,169.003333333333,67,15,35,NA,0,112,25,35,NA,218,0.0166666666666667,0,0,1,0
"2025-07-30 17:20:00",300,1,87,19,35,NA,170,88.0866666666667,18.6666666666667,35,NA,170.326666666667,75,14,35,NA,134,113,24,35,NA,206,0,0,0,1,0
"2025-07-30 17:25:00",300,1,88,19,35,NA,163,89.42,19.12,35,NA,164.34,79,15,35,NA,106,107,22,35,NA,220,0,0,0,1,0
"2025-07-30 17:30:00",300,1,88,20,35,NA,185.5,87.41,21.17,35,NA,187.02,55,17,35,NA,140,135,27,35,NA,235,0,0,0,1,0
"2025-07-30 17:35:00",300,1,89,18,35,NA,173,89.78,18.46,35,NA,168.013333333333,73,15,35,NA,104,110,26,35,NA,212,0,0,0,1,0
"2025-07-30 17:40:00",300,1,96,21,35,NA,167.5,97.0067796610169,19.8866666666667,35,NA,158.393333333333,81,15,35,NA,0,118,25,35,NA,220,0.0166666666666667,0,0,1,0
"2025-07-30 17:45:00",300,1,112,27,35,NA,121,112.596610169492,26.17,35,NA,123.12,92,20,35,NA,0,144,31,35,NA,174,0.0166666666666667,0,0,1,0
"2025-07-30 17:50:00",300,1,118,25,35,NA,123,117.196610169492,25.7466666666667,35,NA,124.596666666667,83,19,35,NA,0,147,33,35,NA,165,0.0166666666666667,0,0,1,0
"2025-07-30 17:55:00",300,1,121,26.5,35,NA,111,120.569491525424,26.77,35,NA,109.92,93,18,35,NA,0,145,35,35,NA,135,0.0166666666666667,0,0,1,0
"2025-07-30 18:00:00",300,1,113,28,35,NA,113,116.903333333333,27.01,35,NA,119.37,87,20,35,NA,100,147,33,35,NA,161,0,0,0,1,0
"2025-07-30 18:05:00",300,1,131,27,35,NA,130.5,127.027586206897,26.65,35,NA,130.573333333333,90,20,35,NA,0,154,31,35,NA,197,0.0333333333333333,0,0,1,0
"2025-07-30 18:10:00",300,1,138,26,35,NA,107,138.426666666667,26.6933333333333,34.9936666666667,NA,108.396666666667,116,20,34.95,NA,90,157,33,35,NA,142,0,0,0,1,0
"2025-07-30 18:15:00",300,1,126,28,34.5,NA,114,124.672413793103,28.01,34.5875,NA,111.18,93,24,34.05,NA,0,155,33,35,NA,133,0.0333333333333333,0,0,1,0
"2025-07-30 18:20:00",300,1,130.5,28,34.05,NA,110,128.476666666667,28.1466666666667,34.0921666666667,NA,111.776666666667,91,23,34,NA,100,155,35,34.35,NA,136,0,0,0,1,0
