"datetime","rows_in_bin","overall_completeness","hr_median","rr_median","temperature_median","temperature_calib_median","rmssd_median","hr_mean","rr_mean","temperature_mean","temperature_calib_mean","rmssd_mean","hr_min","rr_min","temperature_min","temperature_calib_min","rmssd_min","hr_max","rr_max","temperature_max","temperature_calib_max","rmssd_max","hr_missing_propn","rr_missing_propn","temperature_missing_propn","temperature_calib_missing_propn","rmssd_missing_propn"
"2025-07-18 15:55:00",75,1,107,31,37,NA,79,108,29.9090909090909,37,NA,78.7733333333333,99,25,37,NA,0,117,31,37,NA,116,0.0533333333333333,0.413333333333333,0,1,0
"2025-07-18 16:00:00",299,0.996666666666667,107,23,37,38,76,106.34188034188,22.0936454849498,37,38,96.6822742474916,78,10,37,38,0,122,31,37,38,251,0.217391304347826,0,0,0.672240802675585,0
"2025-07-18 16:05:00",300,1,108,21,37,38,113,105.446215139442,21.5066666666667,37,38,213.176666666667,58,10,37,38,0,132,35,37,38,587,0.163333333333333,0,0,0,0
"2025-07-18 16:10:00",300,1,108,22,37,38,79,107.691176470588,22.5166666666667,37,38,103.153333333333,99,11,37,38,0,115,35,37,38,319,0.0933333333333333,0,0,0,0
"2025-07-18 16:15:00",300,1,108,22,37,38,77,108.700374531835,22.5633333333333,37,38,75.61,101,15,37,38,0,147,32,37,38,138,0.11,0,0,0,0
"2025-07-18 16:20:00",300,1,108,26,37,38,68,108.464406779661,25.1733333333333,37,38,67.0033333333333,99,15,37,38,0,121,31,37,38,95,0.0166666666666667,0,0,0,0
"2025-07-18 16:25:00",226,0.753333333333333,107,20,37,38,0,108.019417475728,22.5265486725664,37,38,32.7389380530973,100,19,37,38,0,123,31,37,38,107,0.544247787610619,0,0,0,0
"2025-07-18 16:30:00",185,0.616666666666667,104,20,37,38,75,103.590062111801,20.3355263157895,37,38,243.47027027027,40,10,37,38,0,129,32,37,38,866,0.12972972972973,0.178378378378378,0,0,0
"2025-07-18 16:35:00",300,1,107,23,37,38,69,107,22.78,37,38,69.03,100,13,37,38,51,119,27,37,38,90,0,0,0,0,0
"2025-07-18 16:40:00",300,1,108,21,37,38,78,108.960714285714,20.5233333333333,37,38,74.0933333333333,99,13,37,38,0,131,25,37,38,114,0.0666666666666667,0,0,0,0
"2025-07-18 16:45:00",300,1,110,20,37,38,83,111.19298245614,20.5366666666667,37,38,114.673333333333,102,15,37,38,0,129,25,37,38,317,0.05,0,0,0,0
"2025-07-18 16:50:00",300,1,110,19,37,38,86.5,109.981481481481,19.4833333333333,37,38,104.03,94,13,37,38,0,121,26,37,38,277,0.1,0,0,0,0
"2025-07-18 16:55:00",300,1,109,21,37,38,73,109.873646209386,20.4233333333333,37.025,38.025,77.2366666666667,99,14,37,38,0,122,26,37.2,38.2,147,0.0766666666666667,0,0,0,0
"2025-07-18 17:00:00",300,1,109,22,37.65,38.65,78,109.61,22.45,37.5675,38.5675,113.483333333333,101,19,37,38,62,128,27,38,39,335,0,0,0,0,0
"2025-07-18 17:05:00",300,1,107,22,37.75,38.75,75,107.271777003484,22.7866666666667,37.592,38.592,89.84,99,10,37,38,0,119,32,37.95,38.95,204,0.0433333333333333,0,0,0,0
"2025-07-18 17:10:00",300,1,104,27,37,38,66,104.356666666667,27.14,37.003,38.003,66.8066666666667,98,24,37,38,45,113,31,37.1,38.1,94,0,0,0,0,0
"2025-07-18 17:15:00",300,1,106,27,37,38,61,105.72,27.23,37,38,63.6233333333333,98,23,37,38,44,112,30,37,38,85,0,0,0,0,0
"2025-07-18 17:20:00",300,1,105,26,37,38,67,104.556666666667,25.7166666666667,37,38,66.3,98,20,37,38,50,116,29,37,38,81,0,0,0,0,0
"2025-07-18 17:25:00",300,1,105,25,37,38,66,105.066666666667,24.9266666666667,37,38,65.4333333333333,98,20,37,38,46,114,29,37,38,78,0,0,0,0,0
"2025-07-18 17:30:00",300,1,104,26,37,38,67.5,103.836666666667,26.1033333333333,37,38,67.7766666666667,95,21,37,38,47,113,29,37,38,96,0,0,0,0,0
"2025-07-18 17:35:00",300,1,105,27,37,38,59,105.11,26.2433333333333,37,38,58.1733333333333,95,22,37,38,41,114,28,37,38,73,0,0,0,0,0
"2025-07-18 17:40:00",300,1,106,27,37,38,63,105.566666666667,26.7,37,38,64.37,98,19,37,38,46,115,30,37,38,94,0,0,0,0,0
