"datetime","rows_in_bin","overall_completeness","hr_median","rr_median","temperature_median","temperature_calib_median","rmssd_median","hr_mean","rr_mean","temperature_mean","temperature_calib_mean","rmssd_mean","hr_min","rr_min","temperature_min","temperature_calib_min","rmssd_min","hr_max","rr_max","temperature_max","temperature_calib_max","rmssd_max","hr_missing_propn","rr_missing_propn","temperature_missing_propn","temperature_calib_missing_propn","rmssd_missing_propn"
"2025-07-07 09:20:00",65,1,54,23,37,NA,118,56.2539682539683,22.8235294117647,37,NA,127.030769230769,51,22,37,Inf,0,102,23,37,-Inf,231,0.0307692307692308,0.476923076923077,0,1,0
"2025-07-07 09:25:00",300,1,60,22,37,NA,24,59.4,22.0233333333333,37,NA,32.3033333333333,54,19,37,Inf,13,64,26,37,-Inf,86,0,0,0,1,0
"2025-07-07 09:30:00",300,1,61,19,37,NA,35,62.4066666666667,19.4533333333333,37,NA,48.0733333333333,57,13,37,Inf,19,95,27,37,-Inf,176,0,0,0,1,0
"2025-07-07 09:35:00",300,1,62,23,37,NA,67,63.5733333333333,22.0333333333333,37,NA,90.91,56,13,37,Inf,20,92,33,37,-Inf,176,0,0,0,1,0
"2025-07-07 09:40:00",300,1,56,23,36.25,NA,36,56.5266666666667,23.0033333333333,36.435,NA,36.88,54,22,36,Inf,12,60,24,37,-Inf,62,0,0,0,1,0
"2025-07-07 09:45:00",300,1,56,23,36,NA,55,55.81,22.5,36,NA,51.0566666666667,54,21,36,Inf,11,57,23,36,-Inf,100,0,0,0,1,0
"2025-07-07 09:50:00",300,1,56,23,36,NA,62,56.57,22.5,36,NA,72.3733333333333,53,18,36,Inf,13,88,24,36,-Inf,167,0,0,0,1,0
"2025-07-07 09:55:00",300,1,55,22,36,NA,49,55.4833333333333,21.7533333333333,36,NA,51.51,53,18,36,Inf,16,60,24,36,-Inf,80,0,0,0,1,0
"2025-07-07 10:00:00",300,1,56,22,36,NA,70,56.4766666666667,21.9866666666667,36,NA,65.7066666666667,54,16,36,Inf,32,60,24,36,-Inf,94,0,0,0,1,0
"2025-07-07 10:05:00",300,1,54,22,36,NA,18,54.3033333333333,21.92,36.026,NA,28.1466666666667,53,17,36,Inf,12,58,24,36.3,-Inf,60,0,0,0,1,0
"2025-07-07 10:10:00",300,1,55,23,36.95,NA,61,55.25,22.5166666666667,36.779,NA,52.34,53,19,36.15,Inf,13,59,24,37,-Inf,92,0,0,0,1,0
"2025-07-07 10:15:00",300,1,54,22,37,NA,41,55.49,21.7266666666667,37,NA,65.2033333333333,53,18,37,Inf,12,92,24,37,-Inf,188,0,0,0,1,0
"2025-07-07 10:20:00",300,1,54,22,37,NA,17,53.64,22.4166666666667,37,NA,37.4633333333333,52,20,37,Inf,12,55,24,37,-Inf,69,0,0,0,1,0
"2025-07-07 10:25:00",300,1,54,22,37,NA,14,53.5233333333333,21.6066666666667,37,NA,21.5966666666667,52,20,37,Inf,11,54,23,37,-Inf,71,0,0,0,1,0
"2025-07-07 10:30:00",300,1,54,22,37,NA,68,54.1966666666667,22.2533333333333,37,NA,73.91,53,21,37,Inf,13,81,26,37,-Inf,156,0,0,0,1,0
"2025-07-07 10:35:00",300,1,54,22,37,NA,48,53.8766666666667,22.0466666666667,37,NA,45.2533333333333,53,21,37,Inf,11,55,25,37,-Inf,94,0,0,0,1,0
"2025-07-07 10:40:00",300,1,53,21,37,NA,14,53.4066666666667,21.6233333333333,37,NA,18.1233333333333,53,20,37,Inf,10,54,24,37,-Inf,48,0,0,0,1,0
"2025-07-07 10:45:00",300,1,53,22,37,NA,13,53.1466666666667,21.6666666666667,37,NA,23.9366666666667,52,20,37,Inf,11,55,24,37,-Inf,62,0,0,0,1,0
"2025-07-07 10:50:00",300,1,53,22,37,NA,15,54.4333333333333,21.8933333333333,37,NA,27.8433333333333,52,21,37,Inf,10,95,23,37,-Inf,175,0,0,0,1,0
"2025-07-07 10:55:00",300,1,64,22,37,NA,29,62.6933333333333,21.9333333333333,37,NA,41.24,52,20,37,Inf,8,65,24,37,-Inf,171,0,0,0,1,0
"2025-07-07 11:00:00",300,1,54,22,37,NA,51.5,54.24,22.5233333333333,37,NA,54.2033333333333,52,21,37,Inf,16,59,25,37,-Inf,100,0,0,0,1,0
