"datetime","rows_in_bin","overall_completeness","hr_median","rr_median","temperature_median","temperature_calib_median","rmssd_median","hr_mean","rr_mean","temperature_mean","temperature_calib_mean","rmssd_mean","hr_min","rr_min","temperature_min","temperature_calib_min","rmssd_min","hr_max","rr_max","temperature_max","temperature_calib_max","rmssd_max","hr_missing_propn","rr_missing_propn","temperature_missing_propn","temperature_calib_missing_propn","rmssd_missing_propn"
"2025-07-07 05:25:00",111,1,99,15,36,NA,0,105.375,15.8607594936709,36,NA,86.3513513513514,93,15,36,NA,0,147,22,36,NA,519,0.711711711711712,0.288288288288288,0,1,0
"2025-07-07 05:30:00",300,1,NA,15,36,NA,0,NA,15,36,NA,0,NA,15,36,NA,0,NA,15,36,NA,0,1,0,0,1,0
"2025-07-07 05:35:00",300,1,NA,15,36,NA,0,NA,15,36,NA,0,NA,15,36,NA,0,NA,15,36,NA,0,1,0,0,1,0
"2025-07-07 05:40:00",300,1,94,15,36,NA,0,94.25,15,36,NA,0.673333333333333,94,15,36,NA,0,95,15,36,NA,51,0.986666666666667,0,0,1,0
"2025-07-07 05:45:00",300,1,NA,15,36,NA,0,NA,15,36,NA,0,NA,15,36,NA,0,NA,15,36,NA,0,1,0,0,1,0
"2025-07-07 05:50:00",300,1,102,15,36,NA,0,101.875,14.5966666666667,36,NA,2.06333333333333,101,14,36,NA,0,102,15,36,NA,81,0.973333333333333,0,0,1,0
"2025-07-07 05:55:00",300,1,NA,14,36,NA,0,NA,14,36,NA,0,NA,14,36,NA,0,NA,14,36,NA,0,1,0,0,1,0
"2025-07-07 06:00:00",300,1,NA,14,36,NA,0,NA,14,36,NA,0,NA,14,36,NA,0,NA,14,36,NA,0,1,0,0,1,0
"2025-07-07 06:05:00",300,1,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,1,0,0,0.68,0
"2025-07-07 06:10:00",300,1,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,1,0,0,0,0
"2025-07-07 06:15:00",300,1,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,1,0,0,0,0
"2025-07-07 06:20:00",300,1,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,1,0,0,0,0
"2025-07-07 06:25:00",300,1,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,1,0,0,0,0
"2025-07-07 06:30:00",300,1,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,1,0,0,0,0
"2025-07-07 06:35:00",300,1,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,1,0,0,0,0
"2025-07-07 06:40:00",300,1,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,1,0,0,0,0
"2025-07-07 06:45:00",300,1,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,1,0,0,0,0
"2025-07-07 06:50:00",300,1,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,1,0,0,0,0
"2025-07-07 06:55:00",300,1,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,1,0,0,0,0
"2025-07-07 07:00:00",300,1,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,1,0,0,0,0
"2025-07-07 07:05:00",300,1,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,1,0,0,0,0
"2025-07-07 07:10:00",300,1,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,1,0,0,0,0
"2025-07-07 07:15:00",300,1,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,1,0,0,0,0
"2025-07-07 07:20:00",300,1,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,1,0,0,0,0
"2025-07-07 07:25:00",300,1,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,1,0,0,0,0
"2025-07-07 07:30:00",300,1,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,1,0,0,0,0
"2025-07-07 07:35:00",300,1,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,1,0,0,0,0
"2025-07-07 07:40:00",300,1,109,14,36,38.1,0,109,14,36,38.1,0.16,109,14,36,38.1,0,109,14,36,38.1,48,0.996666666666667,0,0,0,0
"2025-07-07 07:45:00",300,1,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,1,0,0,0,0
"2025-07-07 07:50:00",300,1,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,NA,14,36,38.1,0,1,0,0,0,0
"2025-07-07 07:55:00",300,1,NA,14,36,38.1,0,NA,14,36.2308333333333,38.3308330833333,0,NA,14,36,38.1,0,NA,14,37,39.1,0,1,0,0,0,0
"2025-07-07 08:00:00",300,1,NA,14,37,39.1,0,NA,14,36.99,39.08999985,0,NA,14,36.85,38.949997,0,NA,14,37,39.1,0,1,0,0,0,0
