"datetime","rows_in_bin","overall_completeness","hr_median","rr_median","temperature_median","temperature_calib_median","rmssd_median","hr_mean","rr_mean","temperature_mean","temperature_calib_mean","rmssd_mean","hr_min","rr_min","temperature_min","temperature_calib_min","rmssd_min","hr_max","rr_max","temperature_max","temperature_calib_max","rmssd_max","hr_missing_propn","rr_missing_propn","temperature_missing_propn","temperature_calib_missing_propn","rmssd_missing_propn"
"2025-07-17 14:00:00",147,1,100,27,29,NA,6,99.9097222222222,27.0431034482759,28.6547619047619,NA,6.57823129251701,99,24,26,NA,0,101,29,30,NA,11,0.0204081632653061,0.210884353741497,0,1,0
"2025-07-17 14:05:00",298,0.993333333333333,100,27,31,35,8,99.8691275167785,26.7827715355805,31.123322147651,35,18.4530201342282,98,21,30,35,5,101,29,32,35,58,0,0.104026845637584,0,0.939597315436242,0
"2025-07-17 14:10:00",300,1,100,27,33,36,7,99.7566666666667,27.19,32.6141666666667,35.6141666666667,7.70666666666667,98,25,32,35,5,102,33,33,36,13,0,0,0,0,0
"2025-07-17 14:15:00",300,1,101,28,33,36,6,101.376271186441,27.36,33.0353333333333,36.0353333333333,10.02,99,20,33,36,0,103,31,33.35,36.35,28,0.0166666666666667,0,0,0,0
"2025-07-17 14:20:00",300,1,101,27,34,37,6,100.708474576271,26.4866666666667,33.9388333333333,36.9388333333333,7.29666666666667,99,23,33.35,36.35,0,103,29,34,37,14,0.0166666666666667,0,0,0,0
"2025-07-17 14:25:00",300,1,99,28,34,37,7,99.61,27.89,34,37,7.36333333333333,98,25,34,37,5,102,31,34,37,12,0,0,0,0,0
"2025-07-17 14:30:00",300,1,99,27,34,37,8,99.53,27.22,34,37,12.3533333333333,97,24,34,37,5,102,29,34,37,77,0,0,0,0,0
"2025-07-17 14:35:00",300,1,95.5,27,34,37,29,95.3133333333333,27.4966666666667,34,37,25.66,89,24,34,37,6,101,33,34,37,77,0,0,0,0,0
"2025-07-17 14:40:00",300,1,99,26,34,37,7,99.535593220339,25.0966666666667,34,37,11.2833333333333,96,20,34,37,0,105,27,34,37,44,0.0166666666666667,0,0,0,0
"2025-07-17 14:45:00",300,1,97,26,34,37,8,96.9733333333333,26.4866666666667,34,37,8.06,94,23,34,37,5,101,30,34,37,11,0,0,0,0,0
"2025-07-17 14:50:00",300,1,97,24,34,37,8,96.6633333333333,23.94,34,37,10.47,94,21,34,37,5,99,27,34,37,30,0,0,0,0,0
"2025-07-17 14:55:00",300,1,98,26,34,37,8,97.4133333333333,26.35,34,37,11.5633333333333,96,21,34,37,5,99,31,34,37,34,0,0,0,0,0
"2025-07-17 15:00:00",300,1,98,26,34,37,7,97.7466666666667,26.38,34,37,7.17666666666667,96,24,34,37,5,99,29,34,37,10,0,0,0,0,0
"2025-07-17 15:05:00",300,1,98,25,34,37,7,98.15,24.4466666666667,34,37,7.1,97,19,34,37,5,100,28,34,37,10,0,0,0,0,0
"2025-07-17 15:10:00",300,1,99,24,34,37,11,98.8901098901099,23.1033333333333,34,37,10.5366666666667,96,14,34,37,0,102,30,34,37,20,0.09,0,0,0,0
"2025-07-17 15:15:00",300,1,98,26,34,37,13,97.3125,25.72,34,37,18.98,93,20,34,37,0,101,29,34,37,58,0.146666666666667,0,0,0,0
"2025-07-17 15:20:00",300,1,96,25,34,37,18,95.6902356902357,24.7633333333333,34,37,22.16,93,18,34,37,0,99,29,34,37,63,0.01,0,0,0,0
"2025-07-17 15:25:00",300,1,96,25,34,37,9,96.3366666666667,25.0933333333333,34,37,13.01,95,21,34,37,5,98,28,34,37,39,0,0,0,0,0
"2025-07-17 15:30:00",300,1,98,25,34,37,8,98.3691756272401,24.69,34,37,9.33333333333333,96,15,34,37,0,103,29,34,37,19,0.07,0,0,0,0
