"datetime","rows_in_bin","overall_completeness","hr_median","rr_median","temperature_median","temperature_calib_median","rmssd_median","hr_mean","rr_mean","temperature_mean","temperature_calib_mean","rmssd_mean","hr_min","rr_min","temperature_min","temperature_calib_min","rmssd_min","hr_max","rr_max","temperature_max","temperature_calib_max","rmssd_max","hr_missing_propn","rr_missing_propn","temperature_missing_propn","temperature_calib_missing_propn","rmssd_missing_propn"
"2025-07-26 19:35:00",298,1,86,22,34,NA,25,86.445945945946,22.3258426966292,33.4060402684564,NA,29.8456375838926,85,17,31,Inf,0,89,26,34,-Inf,64,0.00671140939597315,0.104026845637584,0,1,0
"2025-07-26 19:40:00",300,1,87,21,34.65,NA,27,86.5233333333333,21.12,34.5416666666667,NA,29.48,84,17,34,Inf,18,89,25,35,-Inf,41,0,0,0,1,0
"2025-07-26 19:45:00",300,1,89,23,34.75,NA,30,88.79,22.8366666666667,34.6571666666667,NA,29.7466666666667,86,15,34.15,Inf,15,92,27,35,-Inf,43,0,0,0,1,0
"2025-07-26 19:50:00",300,1,88,22,34.225,NA,37,88.6233333333333,22.18,34.247,NA,34.7266666666667,87,16,34,Inf,10,92,28,34.55,-Inf,56,0,0,0,1,0
"2025-07-26 19:55:00",300,1,87,20,34.975,NA,42,87.0833333333333,20.2866666666667,34.9318333333333,NA,41.21,85,17,34.5,Inf,28,90,23,35,-Inf,52,0,0,0,1,0
"2025-07-26 20:00:00",300,1,85,21,34.8,NA,46,85.4203389830509,21.3666666666667,34.7021666666667,NA,45.34,84,17,34.05,Inf,0,87,28,35,-Inf,60,0.0166666666666667,0,0,1,0
"2025-07-26 20:05:00",300,1,85,20,34,NA,47,85.1172413793103,19.4066666666667,34.0126666666667,NA,43.8833333333333,84,12,34,Inf,0,87,25,34.15,-Inf,55,0.0333333333333333,0,0,1,0
"2025-07-26 20:10:00",300,1,85,22,34.4,NA,45,84.9966666666667,21.58,34.4566666666667,NA,44.8266666666667,84,18,34,Inf,27,86,24,35,-Inf,57,0,0,0,1,0
"2025-07-26 20:15:00",300,1,85,18,34.95,NA,46,85.2814814814815,17.7666666666667,34.874,NA,42.25,83,10,34.5,Inf,0,87,24,35,-Inf,56,0.1,0,0,1,0
"2025-07-26 20:20:00",300,1,86,21,34.75,NA,41,85.9533333333333,20.1733333333333,34.7726666666667,NA,39.8933333333333,84,15,34.55,Inf,27,88,25,34.95,-Inf,51,0,0,0,1,0
