"datetime","rows_in_bin","overall_completeness","hr_median","rr_median","temperature_median","temperature_calib_median","rmssd_median","hr_mean","rr_mean","temperature_mean","temperature_calib_mean","rmssd_mean","hr_min","rr_min","temperature_min","temperature_calib_min","rmssd_min","hr_max","rr_max","temperature_max","temperature_calib_max","rmssd_max","hr_missing_propn","rr_missing_propn","temperature_missing_propn","temperature_calib_missing_propn","rmssd_missing_propn"
"2025-07-03 10:45:00",74,1,89,23.5,31.8,NA,41,87.7297297297297,24.5540540540541,31.4385135135135,NA,47.1216216216216,79,19,30.45,NA,11,93,31,32,NA,144,0,0,0,1,0
"2025-07-03 10:50:00",300,1,90,22,33,36.3,12,89.99,21.85,32.9408333333333,36.2808510638298,21.26,85,16,32,36.2,7,95,27,34,36.3,62,0,0,0,0.843333333333333,0
"2025-07-03 10:55:00",300,1,88,19,34,36.3,12,88.3466666666667,19.7033333333333,34.2941666666667,36.5941665666667,20.2666666666667,86,15,34,36.3,6,93,23,35,37.3,70,0,0,0,0,0
"2025-07-03 11:00:00",300,1,88,21,35,37.3,13,88.5133333333333,21.56,35,37.3,17.1566666666667,86,17,35,37.3,7,92,27,35,37.3,50,0,0,0,0,0
"2025-07-03 11:05:00",300,1,89,22,35,37.3,13,88.7466666666667,21.5033333333333,35,37.3,16.7233333333333,85,16,35,37.3,8,92,27,35,37.3,46,0,0,0,0,0
"2025-07-03 11:10:00",300,1,89,23,35,37.3,17,88.7533333333333,22.9866666666667,35.1486666666667,37.4486665666667,22.1066666666667,84,21,35,37.3,9,95,25,35.7,38,49,0,0,0,0,0
"2025-07-03 11:15:00",300,1,89,23,36,38.3,18,88.3266666666667,22.4066666666667,35.913,38.213,21.2,82,17,35.45,37.75,8,92,25,36,38.3,50,0,0,0,0,0
"2025-07-03 11:20:00",300,1,88,23,36,38.3,14,87.9966666666667,23.0366666666667,35.995,38.295,17.9366666666667,84,21,35.95,38.25,8,91,26,36,38.3,44,0,0,0,0,0
"2025-07-03 11:25:00",300,1,88,23,36,38.3,16,87.8066666666667,22.6833333333333,36,38.3,23.2433333333333,83,17,36,38.3,7,93,27,36,38.3,52,0,0,0,0,0
"2025-07-03 11:30:00",300,1,93,25,36,38.3,11,93.6666666666667,24.5966666666667,36,38.3,17.2166666666667,88,16,36,38.3,6,99,29,36,38.3,39,0,0,0,0,0
"2025-07-03 11:35:00",300,1,89,22,36,38.3,14,89.0333333333333,22.1333333333333,36,38.3,17.13,85,17,36,38.3,7,94,25,36,38.3,50,0,0,0,0,0
"2025-07-03 11:40:00",300,1,93,24,36,38.3,13,91.8178694158076,23.8986486486486,36,38.3,15.9466666666667,86,16,36,38.3,0,97,35,36,38.3,50,0.03,0.0133333333333333,0,0,0
"2025-07-03 11:45:00",300,1,91,23,36,38.3,14,91.6366666666667,23.02,36.0141666666667,38.3141666666667,35.4466666666667,81,19,36,38.3,7,99,29,36.25,38.55,126,0,0,0,0,0
"2025-07-03 11:50:00",300,1,89,19,37,39.3,14,89.9353741496599,20.1766666666667,36.8873333333333,39.1873333333333,27.56,86,15,36.25,38.55,0,95,27,37,39.3,88,0.02,0,0,0,0
